time_iso8601,forks_cumulative
2022-08-19 00:00:00+00:00,985
2022-08-24 00:00:00+00:00,987
2022-08-26 00:00:00+00:00,989
2022-08-27 00:00:00+00:00,990
2022-08-28 00:00:00+00:00,992
2022-08-30 00:00:00+00:00,996
2022-09-01 00:00:00+00:00,997
2022-09-04 00:00:00+00:00,998
2022-09-07 00:00:00+00:00,999
2022-09-10 00:00:00+00:00,1000
2022-09-12 00:00:00+00:00,1001
2022-09-20 00:00:00+00:00,1003
2022-09-28 00:00:00+00:00,1005
2022-09-30 00:00:00+00:00,1009
2022-10-01 00:00:00+00:00,1010
2022-10-02 00:00:00+00:00,1013
2022-10-05 00:00:00+00:00,1014
2022-10-10 00:00:00+00:00,1015
2022-10-11 00:00:00+00:00,1017
2022-10-13 00:00:00+00:00,1018
2022-10-16 00:00:00+00:00,1020
2022-10-17 00:00:00+00:00,1021
2022-10-18 00:00:00+00:00,1022
2022-10-19 00:00:00+00:00,1023
2022-10-20 00:00:00+00:00,1026
2022-10-22 00:00:00+00:00,1028
2022-10-25 00:00:00+00:00,1029
2022-10-26 00:00:00+00:00,1032
2022-10-27 00:00:00+00:00,1033
2022-10-30 00:00:00+00:00,1034
2022-10-31 00:00:00+00:00,1035
2022-11-01 00:00:00+00:00,1037
2022-11-03 00:00:00+00:00,1038
2022-11-04 00:00:00+00:00,1039
2022-11-06 00:00:00+00:00,1041
2022-11-07 00:00:00+00:00,1043
2022-11-08 00:00:00+00:00,1044
2022-11-09 00:00:00+00:00,1047
2022-11-10 00:00:00+00:00,1048
2022-11-11 00:00:00+00:00,1049
2022-11-13 00:00:00+00:00,1050
