time_iso8601,stars_cumulative
2019-03-28 00:00:00+00:00,1986
2019-03-29 00:00:00+00:00,1989
2019-03-30 00:00:00+00:00,1990
2019-03-31 00:00:00+00:00,1991
2019-04-01 00:00:00+00:00,1993
2019-04-02 00:00:00+00:00,1997
2019-04-03 00:00:00+00:00,1999
2019-04-04 00:00:00+00:00,2002
2019-04-05 00:00:00+00:00,2008
2019-04-06 00:00:00+00:00,2010
2019-04-07 00:00:00+00:00,2012
2019-04-08 00:00:00+00:00,2026
2019-04-09 00:00:00+00:00,2034
2019-04-10 00:00:00+00:00,2043
2019-04-11 00:00:00+00:00,2049
2019-04-12 00:00:00+00:00,2057
2019-04-13 00:00:00+00:00,2061
2019-04-14 00:00:00+00:00,2062
2019-04-15 00:00:00+00:00,2066
2019-04-16 00:00:00+00:00,2072
2019-04-17 00:00:00+00:00,2078
2019-04-18 00:00:00+00:00,2085
2019-04-19 00:00:00+00:00,2089
2019-04-20 00:00:00+00:00,2093
2019-04-22 00:00:00+00:00,2099
2019-04-23 00:00:00+00:00,2104
2019-04-24 00:00:00+00:00,2107
2019-04-25 00:00:00+00:00,2111
2019-04-26 00:00:00+00:00,2114
2019-04-27 00:00:00+00:00,2118
2019-04-28 00:00:00+00:00,2122
2019-04-29 00:00:00+00:00,2125
2019-04-30 00:00:00+00:00,2130
2019-05-01 00:00:00+00:00,2132
2019-05-02 00:00:00+00:00,2134
2019-05-03 00:00:00+00:00,2135
2019-05-04 00:00:00+00:00,2139
2019-05-05 00:00:00+00:00,2141
2019-05-06 00:00:00+00:00,2144
2019-05-07 00:00:00+00:00,2150
2019-05-08 00:00:00+00:00,2155
2019-05-09 00:00:00+00:00,2160
2019-05-10 00:00:00+00:00,2166
2019-05-11 00:00:00+00:00,2170
2019-05-12 00:00:00+00:00,2173
2019-05-13 00:00:00+00:00,2178
2019-05-14 00:00:00+00:00,2189
2019-05-15 00:00:00+00:00,2194
2019-05-16 00:00:00+00:00,2201
2019-05-17 00:00:00+00:00,2206
2019-05-18 00:00:00+00:00,2211
2019-05-19 00:00:00+00:00,2215
2019-05-20 00:00:00+00:00,2217
2019-05-21 00:00:00+00:00,2218
2019-05-22 00:00:00+00:00,2227
2019-05-23 00:00:00+00:00,2231
2019-05-24 00:00:00+00:00,2233
2019-05-27 00:00:00+00:00,2240
2019-05-28 00:00:00+00:00,2245
2019-05-29 00:00:00+00:00,2248
2019-05-30 00:00:00+00:00,2255
2019-06-01 00:00:00+00:00,2259
2019-06-02 00:00:00+00:00,2260
2019-06-03 00:00:00+00:00,2261
2019-06-04 00:00:00+00:00,2266
2019-06-05 00:00:00+00:00,2268
2019-06-06 00:00:00+00:00,2271
2019-06-07 00:00:00+00:00,2272
2019-06-08 00:00:00+00:00,2273
2019-06-09 00:00:00+00:00,2274
2019-06-10 00:00:00+00:00,2277
2019-06-11 00:00:00+00:00,2278
2019-06-12 00:00:00+00:00,2281
2019-06-13 00:00:00+00:00,2284
2019-06-14 00:00:00+00:00,2285
2019-06-15 00:00:00+00:00,2287
2019-06-17 00:00:00+00:00,2291
2019-06-18 00:00:00+00:00,2292
2019-06-20 00:00:00+00:00,2294
2019-06-21 00:00:00+00:00,2298
2019-06-23 00:00:00+00:00,2300
2019-06-24 00:00:00+00:00,2304
2019-06-25 00:00:00+00:00,2310
2019-06-26 00:00:00+00:00,2311
2019-06-27 00:00:00+00:00,2315
2019-06-28 00:00:00+00:00,2317
2019-06-29 00:00:00+00:00,2319
2019-06-30 00:00:00+00:00,2321
2019-07-01 00:00:00+00:00,2325
2019-07-02 00:00:00+00:00,2328
2019-07-03 00:00:00+00:00,2332
2019-07-04 00:00:00+00:00,2335
2019-07-06 00:00:00+00:00,2336
